,evtps_id,ev_id,source_id,source_text,notes
0,,ev_18,,禹“导河积石(在今甘肃省)，至于龙门，南至于华阴，东至于砥柱(三门峡)，又东至于孟津。东过洛汭(在今河南巩县洛水人河处)，至于大伾(一说在河南成皋，一说在河南浚县大伾山)，北过降水(今漳河)，至于大陆(河北省大陆泽)，又北播为九河(古九河为：徒骇、太史、马颊、覆鬴、胡苏、简、絮、钩盘、鬲津)，同为逆河(以海水逆潮而得名)，人于海”。这就是后人所称的“禹河”。《禹贡》,
0,,ev_19,,三月癸酉，大雨震电。庚辰，大雨雪,
0,,ev_19,,左丘明：周三月，夏之，正月也。大雨霖以震，大雨雪皆失时也，凡雨自三日以往为霖，平地尺为大雪。,
0,,ev_20,,十一月使商侯冥治河。,
0,,ev_20,,据《竹书纪年》记载，夏少康帝十一年，命商侯冥主持治河。冥忠于职守，兢兢业业，直到帝杼十三年，前后二十余载，最后为治河献出了自己的生命，,
0,,ev_21,,冬十月，凿山穿陵，以通于河。（通鉴）,
0,,ev_22,,商汤元年都城在亳，后因河患数迁其都。先迁西毫,
0,,ev_22,,汤始居毫，徙先王居迁西毫，避河患也。（史记）,
0,,ev_22,,世言大河自隋刊后千七百年无水患者，此大概言之也。商自汤至武乙数迁其国都，大抵濒河作都，河汜而后迁也。（河渠纪闻）,
0,,ev_23,,夏帝癸十年，“伊洛竭”。为黄河支流伊洛河发生枯水现象的最早记载。《竹书纪年》,
0,,ev_24,,汤“十九祀(商代称年为祀)大旱，二十至二十四祀大旱，王祷于桑林，雨”。为黄河、淮河、海河流域最早的一次连旱记载。《竹书纪年》,
0,,ev_25,,仲丁(自亳)迁都于嚣。《通鉴纲目》,
0,,ev_26,,迁都于相，《通鉴纲目》,
0,,ev_27,,圮于相，徙都于耿。《通鉴纲目》,
0,,ev_28,,圮于耿，徙都于邸。《通鉴纲目》,
0,,ev_29,,迁都于殷。《通鉴纲目》,
0,,ev_29,,盘庚旬日自奄迁于北蒙，曰殷。盘庚渡河南，复居成汤之故居。,
0,,ev_30,,七年冬，大雨电，江、汉水。周孝王七年，厉王生，冬，大雨雹，牛马死，江汉俱冻。,
0,,ev_31,,周幽王二年，发生地震，黄河三条支流泾、洛、渭因岐山震崩、河源阻塞而枯竭。《国语·周语上》,
0,,ev_32,,秋，大水。,
0,,ev_33,,据《周礼·稻人》载：“稻人，掌稼下地。以潴蓄水，以防止水，以沟荡水，以遂均水，以列舍水，以浍泻水……。”提出管农业的人要掌握灌溉水源和注意防洪，要有灌溉和排水渠系。这是中国农业水文方面的最早记载。,
0,,ev_33,,在《周礼·匠人》中：“凡天下之地势，两山之间必有川焉，大川之上必有涂焉。凡沟逆、地阞(不平貌)谓之不行，水属不理孙(意顺)，谓之不行。梢沟，三十里而广倍。凡行奠水，磐折以参伍。欲为渊，则句于矩。凡沟，必因水势；防，必因地势。善沟者水漱之，善防者水淫之。”讲到修建渠道时，要考虑水流速度、水面比降和泥沙等问题。,
0,,ev_34,,荣阳下引河东南为鸿沟，以通宋，郑，陈，蔡，与济，汝，淮，泗会。（史记河渠书）,
0,,ev_35,,秋，大水。凡平原出水为大水。,
0,,ev_36,,夏，大水。,
0,,ev_37,,秋，大水。无麦、苗。,
0,,ev_38,,秋，宋大水。,
0,,ev_39,,秋，宋大水，公使弔焉。,
0,,ev_40,,秋......大水。,
0,,ev_41,,秋，大水。,
0,,ev_42,,秋，大水。鼓，用牲于社、于门。亦非常也。凡天灾，有币无牲。,
0,,ev_43,,据《史记·齐世家》记载：齐桓公“会诸侯于葵丘(在今河南民权境)”，订立盟约，有一条规定是“无曲防”(《孟子·告子》)。规定各诸侯国之间，禁止修损人利己、以邻为壑的堤防。,
0,,ev_44,,齐西，水潦而民饥。,
0,,ev_45,,其后楚人攻宋郑，烧蓻煐郑地......要宋田，夹塞两川，使水不得东流。东山之西，水深灭垝，四百里而后可田也。,
0,,ev_46,,据《左传·文公二年》记载，公元前625年秦王派孟明率军伐晋，在蒲州附近架浮桥，取名孟明桥，即后人所称的蒲津桥。这是黄河上最早架设的一座浮桥。,
0,,ev_47,,据《汉书·沟洫志》记载：大司空掾(为大司空的助理官员)王横言：“禹之行河水，本随西山下东北去。,
0,,ev_47,,"《周谱》云：‘定王五年河徙’，则今所行，非禹之所穿也。”""秋河徙。""",
0,,ev_47,,清胡渭在《禹贡锥指》中说：“周定王五年，河徙自宿胥口(在今河南浚县)。”,
0,,ev_47,,此即黄河迁徙之始，自是禹之故道漫失矣。（河南通志）,
0,,ev_48,,大河自宿胥口徙流，至成平合漳水，复归禹河故道，又东北历浮阳，参户，章武，入海也。以今之地与地考之；浚县，滑县，开州，内黄，清*，南乐，大名，元城，冠县，馆陶，堂邑，清平，清河，博平，高唐，平原，德州，景州，吴桥，东光，交河，沧县，青县，静海，天津，诸州县界中，皆周定王五年至西汉末大河之所行也。（禹贡锥指）,
0,,ev_49,,秋，大水。,
0,,ev_50,,周定王十年至十六年，楚令尹孙叔敖兴建“周百二十里，灌田万顷”的灌溉工程芍陂(今安丰塘)，至今发挥效益，可见当时已有相当的工程水文知识。,
0,,ev_51,,"""河水赤三日。""民国《山东通志》卷3",
0,,ev_52,,梁上崩，壅河，三日不流。（榖粱传）,
0,,ev_53,,秋，大水。,
0,,ev_54,,灵王二十二年，谷、洛斗，将毁王宫。,
0,,ev_55,,秋，齐侯闻将有晋师......将以伐齐。水，不克。,
0,,ev_56,,"秋,大水。",
0,,ev_57,,据《左传·襄公二十五年》载：“楚蒍掩为司马，……数疆潦，规偃潴，町原防，……。”说蒍掩为官后，计算暴雨水量，规划蓄水工程，划定防洪范围，已掌握初步的工程水文知识，并运用于水利工程之中。,
0,,ev_58,,东国水，不可以城。,
0,,ev_59,,"""河水赤于龙门三里。""《竹书纪年》卷下",
0,,ev_60,,郑大水。,
0,,ev_61,,冬十二月，吴子执钟吾子，遂伐徐，防山以水之。己卯，灭徐。,
0,,ev_62,,吕不韦(?～前235年)在公元前239年主编的《吕氏春秋·冬纪》篇中记有：“孟冬之月……水始冰，地始冻；……仲冬之月，……冰益壮，地始拆；……季冬之月，……冰方盛，水泽腹坚。”说明在先秦时期，黄河流域人民对冰情现象已有所认识。,
0,,ev_63,,成书于战国时代的《逸周书·时训解》中记有黄河流域的水文季节变化。如大暑时“大雨时行”，秋分时“水始固”，立冬时“水始冰”，大寒时“水泽腹坚”等。,
0,,ev_64,,据《左传·哀公九年》载：“秋，吴城邗(今扬州)，沟通江淮。”吴王夫差(?～前473年)于公元前486年筑邗城，开“邗沟”人工运河。邗沟最初的路线是北过高邮后，折向东北，出射阳湖后又改向西北，至山阳(今淮安)入淮。充分利用了这一地区湖泊、河流相互邻近的地形和水位差不大的有利条件，而较易地开成了运河。,
0,,ev_65,,公元前482年在淮河的支流泅水与紧邻黄河的济水之间开凿一条沟通淮河与黄河的人工运河，称菏水。也利用这一地区湖泊沼泽(如大野泽、孟诸泽、菏泽等湖)水量可相互调节，而维持一定的通航水深。这样，由长江、淮河达于黄河，形成了一条南北运河，致使江、淮下游地区水文情况复杂化。,
0,,ev_66,,宋大水，丹水壅不流。,
0,,ev_67,,"""晋河绝于扈。""《竹书纪年》卷下",
0,,ev_68,,"""河水赤三日。《竹书纪年》卷下""《竹书纪年》卷下",
0,,ev_69,,晋国卿大夫智伯瑶联合韩、魏攻赵于晋阳(今太原西南)，筑坝拦截汾水支流晋水灌城。后人利用坝和渠灌溉农田，同时又另开一渠，称智伯渠。这是史载山西境内最早的有坝引水工程。,
0,,ev_70,,河绝于扈《水经注》,
0,,ev_70,,古本《竹书纪年》,
0,,ev_71,,知伯从韩、魏兵以攻赵，围晋阳而水之。,
0,,ev_71,,知伯......以攻赵于晋阳，决水灌之。,
0,,ev_71,,使张孟谈见韩、魏之君曰：“夜期杀守堤之吏，而决水灌知伯军。知伯军救水而乱。”,
0,,ev_72,,"""河水赤于晋龙门三日。""《文献通考》卷297",
0,,ev_73,,晋幽公九年，丹水出相反击。,
0,,ev_74,,漳河当时属黄河流域。魏文侯二十五年西门豹为邺令(邺地在今河北省磁县、临漳一带)，“发民凿十二渠，引河水灌民田，田皆溉”(《史记·滑稽列传》),
0,,ev_74,,《吕氏春秋·乐成》和《汉书·沟洫志》记载，漳水十二渠是史起所开，但史起于魏襄王时任邺令，约晚于西门豹一百年上下，后有人认为“西门溉其前，史起灌其后”(左太冲《魏都赋》)，两人都主持过开渠工作。,
0,,ev_74,,十二渠通水后，“亩收一钟”(《论衡·率性》)，约合今每亩125公斤。,
0,,ev_75,,晋国河岸崩，壅龙门(今山西河津西北)，至于底柱(即底柱山，亦作砥柱，今山西平陆东黄河中流。),
0,,ev_76,,"""河水赤于龙门三日。""《竹书纪年》卷下",
0,,ev_77,,"""山西，大雨三月""雍正《山西通志》",
0,,ev_78,,大雨三月……,
0,,ev_79,,入河水于圃田，又为大沟而引圃水。（竹书纪年）,
0,,ev_79,,大沟在尉氏县西南十五里，东北合康沟入于黄河（治水述要）粱惠成王如何于圃田，又引而东。（河渠纪闻）,
0,,ev_80,,魏惠王十年，开始修建一条人工运河，叫鸿沟，沟通了黄河与淮河。从郑州北引黄河水人圃田泽(古大湖，在郑州东)，然后从圃田泽开大沟到大梁(今开封)，“水盛则北注，渠溢则南播”(《水经·渠水注》)。,
0,,ev_81,,"""楚师决河水，以水灌长垣（今县东北）之东"" 《竹书纪年》",
0,,ev_82,,从大梁城开大沟向南折，通过颖水、涡河与淮河相连。据《史记·河渠书》记载：“自是之后，荥阳下引河东南为鸿沟，以通宋、郑、陈、蔡、曹、卫与济、汝、淮、泗会……于齐，则通苗(淄)、济之间，……此渠皆可行舟。”余水尚可灌田，民享其利。,
0,,ev_83,,齐、魏联合攻打赵国，赵国“决河水灌之”(《史记·赵世家》)，齐、魏兵退。,
0,,ev_84,,先时中山负齐之强兵，侵暴吾地，系累吾民，引水围鄗......,
0,,ev_85,,天雨，三月不通。,
0,,ev_86,,魏襄王九年，洛人成周，山水大出。,
0,,ev_87,,"""大霖雨、疾风，河水溢酸枣（今延津县西南）郛""《竹书纪年》卷下",
0,,ev_87,,"""十月大霖雨疾风，河水溢酸枣。""（郦道元水经注）",
0,,ev_88,,秦大将白起在陕西凤翔县屯兵期间亲自督办修渠，称白起渠，该渠在今凤翔县城北1公里，现在的白起河即昔日的白起渠遗址，河段多为小溪，成为行洪水道。,
0,,ev_89,,大水,
0,,ev_90,,赵国又派军队至魏国东阳，“决河水，伐魏氏”(《史记·赵世家》)。,
0,,ev_90,,赵王之魏东阳，决河水，伐魏氏。（豫河续志）,
0,,ev_90,,王再之卫东阳，决河水，伐魏氏。大潦，漳水出。,
0,,ev_91,,昔白起攻楚，引西山长谷水......旧堨去城一百许里，水从城西，灌城东入......水溃城东北角，百姓随水流死于城东者，数十万，城东皆臭。,
0,,ev_91,,二十八年，大良造白起攻楚，取鄢，邓。,
0,,ev_92,,河水出，大潦。,
0,,ev_93,,战国末期，秦国逐渐强大，韩国怕秦东伐，乃用“疲秦”之计，派水工郑国去劝说秦国办水利，建议在关中引泾水兴修大型灌溉工程。据《史记·河渠书》记载：白中山西麓瓠口引泾水向东开渠，与北山平行注洛水，全长三百余里，用以溉田。渠成之后，利用泾河浑水放淤，改良盐碱地四万余顷(折今115万亩)，亩产量高达“一钟”(约合今125公斤)，“于是关中为沃野，无凶年，秦以富强，卒并诸侯”(《史记·河渠书》)，命名为郑国渠。此渠流经今陕西泾阳、三原、高陵、临潼、富平等县，横跨冶峪水、清峪水、浊峪水、漆沮水，入于洛水。,
0,,ev_94,,河鱼大上。（史记秦本纪）,
0,,ev_94,,河水溢，鱼大上平地，亦言枣水害也。《史记索隐》,
0,,ev_95,,秦将王贲，率军攻打魏国，“王贲攻渭，引河沟灌大梁，大梁城坏，其王请降，尽取其地。”《史记·秦始皇本纪》，魏王请降。,
0,,ev_96,,秦始皇统一六国后，“决通川防，夷去险阻”(《史记·秦始皇本纪》)，即统一管理黄河，拆掉阻水工事，以平险情。,
0,,ev_97,,《史记·秦始皇本纪》记载：始皇“使将军蒙恬发兵三十万人北击胡，略取河南地”，后置九原郡，辖境相当今内蒙古河套地区、包头市和黄河南岸的伊克昭盟全境。此为这一带最早进行移民屯垦和兴修水利的滥觞。,
0,,ev_98,,发闾左適戍渔阳，九百人屯大泽乡。陈胜、吴广皆次当行，为屯长。会天大雨，道不通（《史记·陈涉世家》）,
0,,ev_99,,七月，大霖雨，时连雨自七月至九月（《汉书·高帝纪》）,
0,,ev_100,,《史记·高祖功臣侯年表》引汉高祖封爵之誓曰：“使黄河若带，泰山若厉，国以永宁，爰及苗裔。”古文献中“黄河”之称即由此始。,
0,,ev_101,,据《汉书·五行志》载：惠帝五年“夏，大旱。江河水少，溪谷绝。”江、河系古代史籍对长江、黄河的通称。,
0,,ev_101,,嘉庆《四川通志·祥异》引载此条，但具体地点不明。,
0,,ev_101,,安徽地方志则有：“太平府(今安徽当涂县)大旱，江水少，溪谷水绝。”的具体记载。,
0,,ev_102,,“秋，河南大水，伊、洛流1600余家，汝水流800余家”《汉书﹒五行志》,
0,,ev_103,,夏，江水、汉水溢，流民四千余家（《汉书·高后纪》）,
0,,ev_103,,夏，汉中、南郡大水，水出，流四千余家（《汉书·五行志》,
0,,ev_103,,夏，江水、汉水溢，流万余家（《汉书·高后纪》）夏，汉中、南郡水复出，流六千余家。,
0,,ev_104,,南阳沔水流万余家（《汉书·五行志》）,
0,,ev_105,,“四月，齐楚地山二十九所同日俱发大水，溃出。”《汉书·五行志》,
0,,ev_105,,四月，齐楚地震，二十九山同日崩，大水溃出（《汉书·文帝纪》）,
0,,ev_105,,文帝初，多雨，积霖至百日而止（《西京杂记》卷二）,
0,,ev_106,,“河决酸枣(今延津县境)，东溃金堤，于是东郡大兴卒塞之”(《史记·河渠书》)。冬十有二月河决东郡，溃金堤，徙城阳王熹为淮南王。（通鉴）时河决酸枣东阳金堤，于是东郡大与卒塞之。（史记河渠书）,
0,,ev_106,,“十二年冬十二月，河决东郡。”（《汉书·文帝纪》）,
0,,ev_106,,金堤在今濮阳南迤东，北抵安平镇。（北河迹）十六年徙淮南王熹，复为城阳王。（通鉴）盖塞决之功早已告成也。,
0,,ev_107,,（赵人新垣）平曰：“今河溢通泗……”（《史记·封禅书》）,
0,,ev_108,,春三月，诏日：“间者数年比不登，又有水早疾疫之灾。”（《汉书·文帝纪》）,
0,,ev_109,,秋，大雨，昼夜不绝三十五日。蓝田山水出，流九百余家。汉水出，坏民室八千余所，杀三百余人（《汉书·五行志》）,
0,,ev_110,,冬十二月，雷，霖雨（《汉书·景帝纪》）,
0,,ev_111,,夏，天下大涝（《史记·孝景本纪》）,
0,,ev_112,,“三年春，河水溢于平原，大饥，人相食。” （《汉书·武帝纪》）,
0,,ev_112,,河内贫人伤水旱万余家，或父子相食（《汉书·汲黯传》）,
0,,ev_113,,春二月诏自汴河口以东，缘河积石为堰。堰成刻石记之。（河南通志）,
0,,ev_114,,"《史记·河渠书》记载：元光三年“河决于瓠子，东南注巨野，通于淮、泗”。当年堵口失败，汉武帝听信丞相田蚧之言：“江河之决皆天事，未易以人力为强塞，强塞之，未必应天”，故未再堵合，以致泛滥20余年。""春，河水徙，从顿丘东南流入勃（渤）海""《史记·河渠书》“孝武元光中，河决于瓠子，东南注巨野，通于淮泗。”（《汉书·沟洫志》）今天子元光之中，而河决于瓠子，东南注巨野，通于淮、泗（《史记·河渠书》）",
0,,ev_114,,河决于瓠子，东南注巨野通于淮泗，于是天子使汲黯郑当时与人徒塞之，辙复坏，是时武安侯田蚡为丞相，其奉邑食鄃。鄃居河北，河决而南，则鄃无水灾，邑收多。蚡言与上曰：“江河之决皆天事，未易以人力为，疆塞之未必应天”。而望气用数者，亦以为然。于是天子久不复塞也。（史记河渠书）,
0,,ev_114,,“夏五月，河水决濮阳，汜(泛?)郡十六。” 《汉书·武帝纪》）,
0,,ev_114,,“孝武元光中，河决于瓠子，东南注巨野，通于淮泗。”（《汉书·沟洫志》）“三年春，河水徙从顿丘东南流入渤海。” （《汉书·武帝纪》）,
0,,ev_115,,关中漕运，西汉前期经黄河入渭，但由于渭河河道多湾，航程较长，时遇险阻。大司农(汉代为掌管国家财经的官员)郑当时提出开直渠通漕的建议：“引渭穿渠起长安，旁南山下，至河三百余里”(《史记·河渠书》)，于潼关汇人黄河。航程可大为缩短，航行时间由6个月缩至3个月。武帝元光六年批准此建议，命齐人徐伯测量，并发动兵卒数万人挖漕渠，经过3年时间完成，使关中东部到都城长安的漕运能力由汉初的数十万石提高到四百万石。,
0,,ev_116,,为避开三门峡的险阻，又有人提出绕道转运的方案，即“漕从南阳上沔人褒，褒之绝水至斜，间百余里，以车转，从斜下下渭”(《史记·河渠书》)。即将东方的粮食，改从南阳郡(鄂西及豫西南地区)溯汉水而上，一直到汉中的斜谷口，又逆褒水，陆转一百余里到斜水，人渭河，顺流至长安。这一方案由御史大夫张汤转奏，武帝采纳后，派汤子张印发数万人从事开凿，史称“褒斜道”。开成之后，因褒斜的河谷陡峻，水势湍急，不易漕运而失败(《史记·河渠书》)。,
0,,ev_117,,关东通往关中的航道必须通过黄河三门峡险阻，漕运困难。为试图避开这条航线，河东(今山西省南部)太守番系提出“穿渠引汾溉皮氏(今河津县西)、汾阴下(今荣河县北)，引河溉汾阴、蒲坂(今永济县境)下，度可得五千顷。……今溉田之，度可得谷二百万石以上。谷从渭上，与关中无异，而砥柱之东可无复漕”(《史记·河渠书》)。这项工程主要是引汾河及黄河水灌今河津、永济一带，发展水利，增产粮食，从而不再从三门峡以东运粮，当时发兵数万作渠田，建成后因河道移徙，引水困难，渠田废弃，没有达到预期目的。,
0,,ev_118,,汉收复河套后建立了朔方、五原郡，当年即移民10万屯垦，后又往河西走廊至后套移民60万实行屯垦。《史记·河渠书》中有“朔方、西河、河西、酒泉皆引河及川谷(水)以溉田”的记载，《史记·平准书》称“朔方亦穿渠，作者数万人”。,
0,,ev_119,,山东被水灾（《汉书·食货志》、《史记·平准书》）,
0,,ev_120,,"《汉书·武帝纪》, 《魏相传》 ""夏，大水，关东饿死者以千数，平原勃（渤）海、太山、东郡各郡普被灾""《汉书·五行志》",
0,,ev_121,,命谒者于岑建八激堤于卷县北河，以捍冲波，济隧之流遂断。（淮系年表）,
0,,ev_121,,“激堤”即乱石坝（治水述要）卷县今河南原武县，济隧在荣口束。（淮系年表）,
0,,ev_122,,六辅渠在泾河下游，为左内史儿宽所修。据《汉书·儿宽传》颜师古注：六辅渠在郑国渠上游南岸，开六道小渠，以辅助灌溉。主要是为了扩大郑国渠旁边高地的灌溉面积，渠成之后，儿宽制定了灌溉用水的法规“水令”，以扩大灌溉效益。,
0,,ev_122,,汉武帝接受庄熊罴的建议，自关中徵县(今澄城县)开渠，引洛水南至临晋(今大荔县)境以灌田，渠道穿过商颜山，因沿途多为黄土覆盖，渠岸易崩，于是改明渠为隧洞，凿洞长10余里，开凿时先开若干竖井，“深者四十余丈”，“井下相通行水”(《史记·河渠书》)，称为井渠。因施工中挖出了龙骨，又名龙首渠。据司马迁称，此渠“作之十余岁，渠颇通，犹未得其饶”。意思是渠已开通，效益并未充分发挥。,
0,,ev_122,,据《史记·河渠书》载：汉武帝接受庄熊罴建议，“自徵(今陕西澄城县)引洛水至商颜(商颜山在今陕西大荔县)下。岸善崩，仍凿井，深者四十余丈，往往为井，井下相通行水，水颓以绝商颜，东至山岭，十余里间。井渠之生自此始。”,
0,,ev_123,,瓠子决口堵塞后，“夏四月塞瓠子决口。河复北决于馆陶，分为屯氏河，东北经魏郡、清河、信都、勃（渤）海入海，广深与大河等，故因箕自然，不堤塞也。”(《汉书·沟洫志》)。此开通后，馆陶东北四五郡虽时小被水害，而兖州以南六郡无水忧。（史记河渠书）即经今馆陶北、临清南、清河东、景县南，至东光县西复归大河。这一股河当时称为屯氏河，与正河并流达六七十年之久。,
0,,ev_123,,夏四月，（武帝）还……至瓠子，临决河，命从臣将军以下皆负薪塞河堤（《汉书·武帝纪》）,
0,,ev_123,,到元封二年(公元前109年)，汉武帝发卒数万人，亲到河上督工，令群臣从官自将军以下背着薪柴填堵决口，终于堵合。,
0,,ev_124,,自河决瓠子后二十余岁，龄数不登，而粱楚之地尤甚，天子既封禅巡祭山川，其明年旱乾封少雨，天子乃使汲仁郭昌发卒数万人塞瓠子决。于是天子己用事万里沙，则还自临决河，沉白马玉臂于河，沈白马玉璧于河，令群臣从官自将军已下皆负薪填决河。是时东郡烧草，以故薪柴少，而下淇园之竹以为楗，于是卒塞瓠子。筑宫其上，名曰宣房宫。而道河北行二渠，复禹旧迹，而梁、楚之地复宁，无水灾。（史记河渠书）,
0,,ev_124,,汉书无流字。（行水金鉴）如淳曰：“树竹塞水决之口，竹塞水决之口，稍稍布插接树之，水稍弱，补令密，谓之楗。以草塞其里，乃以土填之；有石，以石为之。”,
0,,ev_125,,屯市河故渎又东北屯氏别河出焉，屯氏别河故渎，又东北迳信成县，张甲河出焉，张甲河张甲河故渎北绝清河，于广宗县，又东北之攸县会清河，屯氏别河自信成县南，东北至降幕县南，分为二渎，其北渎东北至阳信县故城北，东注于海，南渎自平原城北首，受大河故渎，东出亦谓之笃马河，东北至阳信县故城南，东北入海。（禹贡锥指）,
0,,ev_126,,据《汉书·沟洫志》载：“太始二年，赵中大夫白公复奏穿渠。引泾水，首起谷口(今云阳县治谷)，尾入栎阳(在今陕西临潼北渭水北岸)，注渭中，袤二百里， 溉田四千五百余顷，因名曰白渠。民得其饶，歌之曰：‘田於何所?池阳(今陕西泾阳县西北)、谷口。郑国在前，白渠起后。举锸为云，决渠为雨。泾水一石，其 泥数斗。且溉且粪，长我禾黍。衣食京师，亿万之口。’言此两渠饶也。”说明当时泾河水含沙量大，引泾淤灌，增加土地肥力，得以增产。,
0,,ev_126,,根据《汉书·沟洫志》记载：在赵中大夫(中大夫汉代为掌管议论之官)白公建议下，穿渠引泾水，首起自谷口，向东人栎阳(今高陵县东)，南人渭水，长二百里，溉田四千五百余顷(合今30余万亩)，名曰白公渠，民得其利。白渠在郑国渠之南，工程建成后，效益很大，当时留下这样一首歌谣：“田于何所?池阳谷口。郑国在前，白渠起后。举锸为云，决渠为雨。泾水一石，其泥数斗。且溉且粪，长我禾黍。衣食京师，亿万之口。”(《汉书·沟洫志》)白渠和郑国渠，统称郑白渠，到了唐代，白渠分为三条支渠，即太白渠、中白渠和南白渠，又称三白渠，唐永徽年间(公元650—655年)灌溉面积曾达一万多顷。,
0,,ev_127,,齐人延年提出：“河出昆仑，经中国，注勃海，是其地势西北高而东南下也。可案图书，观地形，令水工准高下，开大河上领，出之胡中，东注之海”(《汉书·沟洫志》)。这项意见系指从内蒙古河套一带让黄河改道东流人海，是我国最早提出的黄河人工改道建议，却未付诸实施。,
0,,ev_128,,秋七月，……大雨，渭桥绝（《汉书·昭帝纪》）七月，大水雨，自七月至十月（《汉书·五行志》）,
0,,ev_129,,正月，诏日：“乃者民被水灾，颇匮于食，朕虚仓廪，使使者振困乏。其止四年毋漕。三年以前所振贷，非丞相御史所请，边郡受牛者勿收责”（《汉书·昭帝纪》）,
0,,ev_130,,光禄大夫郭昌使行河。北曲三所水流之势皆邪直贝丘县。恐水盛，堤防不能禁，乃各更穿渠，直东，经东郡界中，不令北曲。渠通利，百姓安之。（汉书沟洫志）,
0,,ev_131,,郡国颇被水灾（《汉书·宣帝纪》）,
0,,ev_132,,又据《汉书·西域传》载：汉宣帝元康二年(公元前64年)“汉遣破羌将军辛武贤，将兵万五千人至敦煌，遣使者按行表，穿卑鞮侯井，以西欲通渠转谷，积居卢仓以讨之。”根据王国维(1877～1927年)的考证(见《观堂集林·西域井渠考》)，“……卑鞮侯井，也是井渠，似已向西传播。井渠即坎儿井。”坎儿井是在干旱地区通过地下渠道，利用地下水灌溉农田，减少水面蒸发损失的好办 法，在今新疆有很大发展。,
0,,ev_133,,四月(阴历，下至清代均同)，宣帝派后将军赵充国率兵到湟水流域平息羌变事件，十二月，羌变即将平息，赵充国三上“屯田奏”，经朝廷同意，留步卒万人在临羌县至浩门一带湟水谷地屯垦二千多顷，整修沟渠，引水灌溉；并修建沿途驿站房舍、道路及桥梁七十余处；光武帝建武十一年(公元35年)陇西太守马援又上言“破羌以西，城多完牢，易可依固，其田土肥壤，灌溉流通”，从此引湟灌溉得以发展。,
0,,ev_134,,五月，勃海水大溢（《汉书·元帝纪》）,
0,,ev_135,,九月，关东郡国十一大水，饥，或人相食（《汉书·元帝纪》）,
0,,ev_136,,一年中地再动。北海水溢，流杀人民（《汉书·元帝纪》）,
0,,ev_137,,冬十一月……己丑地动，中冬雨水……（《汉书·元帝纪》）,
0,,ev_138,,秋，颍川水出，流杀人民。吏、从官县被害者与告，士卒遣归（《汉书·元帝纪》）夏及秋，大水。颍川、汝南、淮阳、庐江雨，坏乡聚民舍，及水流杀人（《汉书·五行志》）,
0,,ev_138,,“永光五年，河决清河灵鸣犊口，而屯氏河绝。” （《汉书·沟洫志》）,
