source_id,source,page,chinese_date,western_date,old_placename_chinese,modern_placename_chinese,event_type_chinese,event_name,event_description,primary_source_1,primary_source_2,notes
10100028,HDSJ,,汉武帝元狩三年至元鼎六年,-120一-111,,,,开龙首渠,汉武帝接受庄熊罴的建议，自关中徵县(今澄城县)开渠，引洛水南至临晋(今大荔县)境以灌田，渠道穿过商颜山，因沿途多为黄土覆盖，渠岸易崩，于是改明渠为隧洞，凿洞长10余里，开凿时先开若干竖井，“深者四十余丈”，“井下相通行水”(《史记·河渠书》)，称为井渠。因施工中挖出了龙骨，又名龙首渠。据司马迁称，此渠“作之十余岁，渠颇通，犹未得其饶”。意思是渠已开通，效益并未充分发挥。,,,
10100029,HDSJ,,汉武帝元鼎六年,-111,,,,,六辅渠在泾河下游，为左内史儿宽所修。据《汉书·儿宽传》颜师古注：六辅渠在郑国渠上游南岸，开六道小渠，以辅助灌溉。主要是为了扩大郑国渠旁边高地的灌溉面积，渠成之后，儿宽制定了灌溉用水的法规“水令”，以扩大灌溉效益。,,,
10100030,HDSJ,,汉武帝元封二年,-109,,,,河决馆陶分出屯氏河,瓠子决口堵塞后，“河复北决于馆陶，分为屯氏河，东北经魏郡、清河、信都、勃海人海”(《汉书·沟洫志》)。即经今馆陶北、临清南、清河东、景县南，至东光县西复归大河。这一股河当时称为屯氏河，与正河并流达六七十年之久。,,,
10100031,HDSJ,,汉武帝太始二年,-95,,,,开凿白渠,根据《汉书·沟洫志》记载：在赵中大夫(中大夫汉代为掌管议论之官)白公建议下，穿渠引泾水，首起自谷口，向东人栎阳(今高陵县东)，南人渭水，长二百里，溉田四千五百余顷(合今30余万亩)，名曰白公渠，民得其利。白渠在郑国渠之南，工程建成后，效益很大，当时留下这样一首歌谣：“田于何所?池阳谷口。郑国在前，白渠起后。举锸为云，决渠为雨。泾水一石，其泥数斗。且溉且粪，长我禾黍。衣食京师，亿万之口。”(《汉书·沟洫志》)白渠和郑国渠，统称郑白渠，到了唐代，白渠分为三条支渠，即太白渠、中白渠和南白渠，又称三白渠，唐永徽年间(公元650—655年)灌溉面积曾达一万多顷。,,,
10100032,HDSJ,,汉武帝太始二年,-95,,,,齐人延年建议改河,齐人延年提出：“河出昆仑，经中国，注勃海，是其地势西北高而东南下也。可案图书，观地形，令水工准高下，开大河上领，出之胡中，东注之海”(《汉书·沟洫志》)。这项意见系指从内蒙古河套一带让黄河改道东流人海，是我国最早提出的黄河人工改道建议，却未付诸实施。,,,
10100033,HDSJ,,汉宣帝地节元年,-69,,,,濮阳裁弯取直工程,郭昌主持举办濮阳至临清间的黄河裁弯取直工程。施工3年，虽未成功，却是整治黄河的一次重要实践。,,,
10100034,HDSJ,,汉宣帝神爵元年,-61,,,,引湟灌溉,四月(阴历，下至清代均同)，宣帝派后将军赵充国率兵到湟水流域平息羌变事件，十二月，羌变即将平息，赵充国三上“屯田奏”，经朝廷同意，留步卒万人在临羌县至浩门一带湟水谷地屯垦二千多顷，整修沟渠，引水灌溉；并修建沿途驿站房舍、道路及桥梁七十余处；光武帝建武十一年(公元35年)陇西太守马援又上言“破羌以西，城多完牢，易可依固，其田土肥壤，灌溉流通”，从此引湟灌溉得以发展。,,,
10100035,HDSJ,,汉元帝永光五年,-39,,,,河决鸣犊口,是年黄河在清河郡灵县鸣犊口(在今高唐县南)决口。据《汉书·地理志》记载：“河水别出为鸣犊河，东北至蓓(在今景县南)人屯氏河”，即黄河北分出一股，至蓓县南人于屯氏河的下段，史称“鸣犊河”。原屯氏河断流，出现了鸣犊河与大河分流的形势，仅行河六七年。,,,
10100037,HDSJ,,汉成帝建始四年,-29,,,,馆陶及东郡金堤河决,是年河决馆陶及东郡金堤，洪水“泛溢兖、豫，人平原、千乘、济南，凡灌四郡三十二县，水居地十五万余顷，深者三丈，坏败官亭室庐且四万所。……河堤使者王延世使塞，以竹络长四丈，大九围，盛以小石，两船夹载而下之，三十六日河堤成”(《汉书·沟洫志》)。,,,
10100038,HDSJ,,汉成帝鸿嘉四年,-17,,,,孙禁建议改河,是年勃海、清河、信都河溢，“灌县邑三十一”，丞相史孙禁视察河患后提出：“可决平原金堤间，开通大河，令人故笃马河。至海五百余里，水道浚利”(《汉书·沟洫志》)。当时河堤都尉(为汉代管水之河官)许商认为孙禁建议的河道不是大禹九河的流经范围，予以反对，公卿皆从许商之言，孙禁建议未能实现。,,,
10100039,HDSJ,,汉成帝鸿嘉四年,-17,,,,开宽三门河道,为改善黄河航运，丞相史杨焉提出：“从河上下，患砥柱隘，可镌广之”(《汉书·沟洫志》)。成帝从其议，命杨率人劈山凿石，扩宽河面，以利航运。结果，所开的大石块坠人河中，致使河水更加湍急，未获成功。,,,
10100040,HDSJ,,汉成帝绥和二年,-7,,,,贾让治河三策,根据《汉书·沟洫志》记载，是年九月贾让根据黎阳(今浚县一带)黄河堤距仅“数百步”，而且“百余里之间，河再西三东”的不利形势，提出治河上、中、下三策。他的上策是改道北流，“徙冀州之民当水冲者，决黎阳遮害亭，放河使北人海”。中策是“多穿漕渠于冀州地，使民得以溉田”，同时“为东方一堤，北行三百余里，人漳水中”，设水门分水北流，由漳河下泄。下策是于黎阳一带“缮完故堤，增卑培薄”，他认为这样势将“劳费无已，数逢其害，后患无穷”。,,,
10100041,HDSJ,,汉平帝元始四年,4,,,,张戎论黄河水沙,大司马史(大司马的副职)张戎指出：“水性就下，行疾，则自刮除成空而稍深。河水重浊，号为一石水而六斗泥。今西方诸郡，以至京师东行，民皆引河、渭、山川水溉田。春夏干燥，少水时也，故使河流迟，贮淤而稍浅；雨多水暴至，则溢决。而国家数堤塞之，稍益高于平地，犹筑垣而居水也。可各／顷从其性，毋复灌溉，则百川流行，水道自利，无溢决之害矣”(《汉书·沟洫志》)。张戎根据黄河多沙的特点，提出在春季枯水时期，停止中、上游引水灌溉，以免分水过多，造成下游河道淤积而遭决溢之患；要保持河水自身的挟沙能力，排沙人海。这是史书上关于黄河的水沙关系和利用水力刷沙的第一次记载。,,,
10100042,HDSJ,,王莽始建国三年,11,,,,河决魏郡,根据《汉书·王莽传》记载：“河决魏郡，泛清河以东数郡”，经平原、济南，流向干乘人海。当时王莽以为河水东去，从此他在元城(今河北大名附近)的祖坟可不再受黄河之害，未予堵塞，以致黄河又一次大改道。,,,
10100043,HDSJ,,汉明帝永平十二年,69,,,,王景治河,河决魏郡后60余年间，河水不断南侵，以致“汴渠决败”，兖、豫一带多被水患。根据《后汉书·王景传》记载：“永平十二年，议修汴渠，乃引见(王)景，问以理水形便。景陈其利害，应对敏给，(明)帝善之。又以尝修浚仪 (渠)，功业有成。……夏，遂发卒数十万，遣景与王吴修渠筑堤，自荥阳东至干乘海口千余里。景乃商度地势，凿山阜，破砥绩，直截沟涧，防遏冲要，疏决壅积，十里立一水门，令更相洄注，无复溃漏之患。景虽简省役费，然犹以百亿计。明年夏，渠成。”王景依靠数十万人的力量，在一年之内，修了一千余里的黄河大堤和治河工程，又整治了汴渠渠道，黄河与汴渠分别得到控制，从而“河汴分流，复其旧迹”(《后汉书·明帝纪》)。王景治河后的黄河河道，大致经浚、滑、濮阳、平原、商河等地，最后由千乘(今利津)入于渤海。,,,
10100044,HDSJ,,汉和帝永元十四年至顺帝阳嘉元年,102—132,,,,继续在河湟地区屯田,和帝永元十四年，边郡置农都尉，主屯田植谷。安帝永初中罢西海郡屯田。顺帝永建四年，从虞诩之请复三郡，使谒者郭璜督促徙者各归旧县，缮城郭，置堠驿。既而激河浚渠，为屯田，省内郡费岁一亿计。至阳嘉元年，以湟中地广，更增置屯田五部，并为十部。,,,
10100045,HDSJ,,汉安帝永初七年,113,,,,建八激堤,据《水经注》记载，是年于石门东“积石八所，皆如小山，以捍冲波，谓之八激堤”。石门即浪荡渠口受河之处，在今河南古荥一带；激堤，类似现代的乱石坝，用以防冲。,,,
10100046,HDSJ,,汉灵帝光和元年,178,,,,河溢金城,是年秋，金城(今兰州)河水溢出二十余里(《后汉书·五行志》)。,,,
10100047,HDSJ,,汉献帝建安九年,204,,,,遏淇水入白沟,曹操率军渡黄河，进攻袁绍余部，于今淇、浚一带的淇水人河处筑枋堰，“遏淇水人白沟，以通粮道”(《三国志·魏书武帝纪》)，沟通了黄河、海河水系。,,,
10100048,HDSJ,,魏文帝黄初四年,223,,,,伊、洛河大水,《晋书·五行志》记载：“六月，大雨霖，伊、洛溢，至津阳城门(古洛阳城)，漂数干家。”又据《水经注·伊水》记载：洛阳伊阙左壁上石刻铭文：“黄初四年六月二十四日，辛巳，大出水，举高四丈五尺(约合10．9米)，齐此已下。”经调查，用现代科学方法推算这年伊河的洪水流量为20000立方米每秒。,,,
10100049,HDSJ,,魏明帝太和四年,230,,,,伊、洛、河、汉皆溢,八至九月，大雨霖三十余日，伊、洛、河、汉皆溢，“岁以凶饥”(《晋书·五行志》)。,,,
10100050,HDSJ,,晋武帝泰始七年,271,,,,河、洛、伊、沁皆溢,六月，“大雨霖，河、洛、伊、沁皆溢”(《晋书·五行志》)。,,,
10100051,HDSJ,,泰始十年,274,,,,杜预建桥,杜预以孟津常有覆没之患，乃“立河桥于富平津(在今孟津境)”(《晋书·武帝纪》)。,,,
10100052,HDSJ,,北魏登国元年至十年,386—395,,,,五原屯田,道武帝拓跋珪即北魏皇帝后，即“息众课农”，在五原实行屯田。登国九年(公元394年)，道武帝北巡时，即“使东平公元仪屯田于河北(河套之北)之五原，至于捆阳塞外”(《魏书·太祖道武帝纪》)。第二年，后燕慕容宝统兵8万攻魏寇五原，并“造船为济具”，要把魏在五原大约3万余家屯田所“收积田百余万斛”运走。可见当时北魏在五原一带屯田和兴修水利的规模是很大的。,,,
10100053,HDSJ,,北魏太武帝太平真君五年,444,,,,刁雍修渠,刁雍主持在西北重镇薄骨律(今宁夏灵武县西南)的黄河西岸，开长一百二十里的艾山渠，可引黄河水“溉官私田四万余顷，一句之间，则水一遍，水凡四溉，谷得成实。官课常充，民亦丰赡”(《魏书·刁雍传》)。,,,
10100054,HDSJ,,北魏太和十二年至十三年,488—489,,,,孝文帝诏令屯田灌溉,孝文帝元宏于太和十二年五月“诏六镇、云中、河西及关内六郡各修水田，通渠灌溉”。第二年八月，又“诏诸州镇有水田之处各通灌溉，遣匠者所在指授”。以上六镇及云中绝大部分在今内蒙古自治区中西部辖境内，大体包括西至河套平原、东至卓资山黄河两岸及阴山南北地区。当时北魏政权对在这一带发展农田水利给予了极大关注。,,,
10100055,HDSJ,,北魏孝明帝熙平元年,516,,,,崔楷议治河,由于连年黄河泛滥，弥漫东北冀、定数州，崔楷向皇帝提出治河建议：“量其逶迤，穿凿涓浍，分立堤蝎，所在疏通……使地有金堤之坚，水有非常之备……多置水口，从河人海……泄此陂泽。”即根据河势地形，该修堤的修堤，该疏通的疏通，使水有出路。为防御非常洪水，多置分水口，使涝碱地里的积水，从河里排泄人海。皇帝采纳崔楷的意见，付诸实施，但工未完成，即把崔楷“诏还追罢”(《魏书·崔辩传附崔楷传》)。,,,
10100056,HDSJ,,隋文帝开皇四年,584,,,,开广通渠,由于“渭川水力大小无常，流浅沙深”，漕运困难，于是年“命宇文恺率水工凿渠，引渭水，自大兴城(今陕西西安)东至潼关三百余里，名曰广通渠。转运通利，关内赖之”(《隋书·食货志》)。至唐高祖武德六年(公元623年)以后，以广通渠为骨干，逐步向四面发展水运网，分别把沂水、沪水、敷水等逼人渭漕，以发展关中水利和漕运(《新唐书·地理志》)。,,,
10100057,HDSJ,,隋炀帝大业元年,605,,,,开通济渠,隋炀帝下诏“发河南诸郡男女百余万开通济渠，自西苑(隋帝宫殿，在洛阳西)引谷(即今涧水)、洛水达于河，自板渚引河通于淮(板渚在今荥阳县汜水镇东北)”。这条渠道从洛阳开始，由洛口人黄河，再从板渚引河水，东经开封，东南流经今商丘、永城、宿县、灵璧、泗县，在盱眙之北人淮河。同年“又发淮南民十余万，开邗沟，自山阳至扬子人江”(《资治通鉴·隋帝纪》)。通济渠和山阳渎共长二干余里。,,,
10100058,HDSJ,,大业四年,608,,,,开永济渠,正月，隋炀帝“诏发河北诸郡男女百余万，开水济渠，引沁水，南达于河，北通涿郡”(《隋书·炀帝纪》)，使黄河以南通济渠来船由沁河口溯流北上，长约二千余里。隋大业六年，又加工开凿江南运河、永济渠、通济渠、山阳渎，总长五千余里。成为联系长江、淮河、黄河和钱塘江四大水系的纽带。,,,
10100059,HDSJ,,唐高祖武德七年,624,,,,引黄灌溉,在陕西韩城境内，“治中(官名)云得臣自龙门引河灌田六千余顷”(《新唐书，地理志》)。据《渭南地区水利志》考证，认为此渠灌溉面积应为60余顷。,,,
10100060,HDSJ,,唐太宗贞观十一年,637,,,,河溢河北县,“九月丁亥，河溢坏陕州之河北县(今山西平陆县东北)及太原仓，毁河阳(在今河南孟县境)中淖”(《新唐书·五行志》)。,,,
10100061,HDSJ,,唐玄宗开元元年,713,,,,水入会州城,秋，黄河水溢，泛滥成灾，水逼人会州城(今甘肃靖远县)。,,,
10100062,HDSJ,,唐开元元年至元和八年,713—813,,,,黄水淹毁西受降城,唐《元和郡县图志》记载了这期间西受降城(今乌加河北狼山口子一带)被黄河洪水多次淹毁的情况。该城在“开元初(公元713年)为河水所坏”，后在东边另筑新城。乾元元年(公元758年)后仍为河所侵。“至元和八年(公元813年)春，黄河泛溢，城南面毁坏转多”。,,,
10100063,HDSJ,,开元七年,719,,,,引洛灌溉,同州(今大荔)刺史姜师度“于朝邑、河西(在今合阳东)二县界，就古通灵陂择地引洛水及堰黄河灌之，以种稻田，凡二千佘顷。内置屯十余所，收获万计”(引日唐书·姜师度传》)。,,,
10100064,HDSJ,,开元十年,722,,,,博州、棣州河决,“六月，博州、棣州河决”(《新唐书·五行志》)。,,,
10100065,HDSJ,,开元二十九年,741,,,,辟开元新河,陕郡太守李齐物“凿砥柱为门以通漕，开其岭为挽路，烧石沃醯（即醋）而凿之，然弃石入河，激水益湍怒，舟不能入新门，候其水涨，以人挽舟而上”（《新唐书·食货志》）。这次所辟的新河，后称开元新河。,,,
10100066,HDSJ,,唐肃宗乾元二年,759午,,,,李铣决河,“逆党史思明侵河南，守将李铣于长清县界边家口决大河，东至（禹城）县，因而沦溺”（《太平寰宇记·齐州·禹城县》。,,,
10100067,HDSJ,,唐德宗贞元元年,785,,,,引汾灌田,绛州(今新绛)刺史韦武主持兴建引汾灌区，灌田13000余顷。此为唐代北方三大灌区之一。,,,
10100068,HDSJ,,贞元七年,791,,,,开延化、咸应等渠,是年，在夏州朔方郡(今陕西靖边县境)，“开延化渠，引乌水人库狄泽，溉田二百顷”(J又贞元中，刺史李景略在丰州九原郡(今内蒙古后套)开咸应、永清二渠，“溉田数百顷”(《新唐书·地理志》)。又元和年间，高霞寓在今托克托北“浚金河，灌溉卤地数千顷”。,,,
10100069,HDSJ,,贞元十四年,798,,,,《吐蕃黄河录》问世,据《新唐书·贾耽传》记载，贾耽“乃绘布陇右、山南九州，具载河所经受为图。又以洮湼甘凉屯镇额籍，道里广狭，山险水原为别录六篇，河西戎之录四篇”，完成了我国历史上第一部以黄河命名的专著《吐蕃黄河录》。该书现已失传。,,,
10100070,HDSJ,,唐宪宗元和八年,813,,,,黎阳开分洪道,据《旧唐书·宪宗本纪》记载：是年“河溢，浸滑州丰马城之半”。郑滑节度使薛平及魏博节度使田弘正发动万余人，“于黎阳界开古黄河河道，南北长十四里，东西阔六十步，深一丈七尺”，决河分注故道，作为分洪道，下流再回到黄河，滑州遂无水患。,,,
10100071,HDSJ,,元和十五年,820,,,,修复光禄渠,据《旧唐书·李晟传》记载：是年，李晟子李听任灵州大都督府长使、灵盐节度使，修复废塞多年的光禄渠，引黄“灌地千余顷”。,,,
10100072,HDSJ,,唐穆宗长庆元年,821,,,,刘元鼎寻河源,《西宁府新志》载：大理卿“刘元鼎出蒙谷。抵龙泉与河合。河之上流繇洪济梁西南行二千里，水益狭，春可涉，秋夏乃胜舟。其南三百里，三山中高而四下，曰紫山；直大羊同国。所谓昆仑，夷曰闷摩黎山，河出其间”。,,,
10100073,HDSJ,,唐穆宗长庆四年,824,,,,开特进渠,是年在宁夏回乐县(今灵武县西南)开特进渠，“溉田六百余顷(《新唐书。地理志》)。,,,
10100074,HDSJ,,唐文宗大和二年,828,,,,推广水力机械,闰三月，朝廷曾“出水车样，令京兆府造水车，散给缘郑白渠百姓，以溉水田”：这种用水力推动的提水机械已在黄河流域推广。,,,
10100075,HDSJ,,唐武宗会昌元年,841,,,,贵德流沙,廓州(今贵德)流沙(注：泥石流)渡黄河南，冲压忙拉川城堡，房屋人畜全没。,,,
10100076,HDSJ,,唐昭宗景福二年,893,,,,河口北徙,黄河“从勃海至无棣县人海”(《新唐书·五行志》)。,,,
10100077,HDSJ,,唐昭宗乾宁三年,896,,,,朱全忠决河,“夏四月，辛酉，河涨，将毁滑州城”，朱全忠决其堤，成为二河，把滑州城夹在二河之中，水向东流，为害甚重。(《资治通鉴》卷二百六十),,,
10100078,HDSJ,,后梁末帝贞明四年,918,,,,梁决河拒晋,二月，梁将谢彦章与晋军对敌于杨刘(在今山东东阿县北)，谢彦章“决河水，弥浸数里”，使晋兵不得进。(《资治通鉴》卷二百七十),,,
10100079,HDSJ,,后梁末帝龙德三年,923,,,,梁决河拒唐,梁将段凝以唐兵见逼，自酸枣(在今延津县境)决河，东注于郓州(今东平西北)以阻唐兵南下，谓之“护驾水”，因决口扩大，在曹州、濮州为患，后唐庄宗同光二年(公元924年)发兵堵塞，后复决。(《新五代史·段凝传》),,,
